"date";"from";"text"
"2021-04-02T12:05:32";"Waarheid, Eindtijd & Profetie";"In deze tijd van misleiding is het belangrijk om door de bomen het bos nog te zien. Daarvoor is dit kanaal. Een duidelijke lijn, op basis van God's Woord.
Onderwerpen als coronavirus, wereldregering, vaccins, teken van het beest, opname, grote verdrukking, wederkomst, satanisme, komen hier aan bod. Hoe moeten we dit alles zien en wat zegt God hierover in Zijn Woord?
God's Woord is NIET vatbaar voor meerdere uitleggingen. Dat is een leugen.
Vragen stellen is altijd goed, maar Waarheid kan confronterend zijn.
""We'd rather scare you into heaven, than flatter you into hell."""
"2021-04-02T15:05:28";"Waarheid, Eindtijd & Profetie";"list(type = ""link"", text = ""https://youtu.be/qKQAxBb23oc"")"
"2021-04-02T15:22:18";"Waarheid, Eindtijd & Profetie";"Reacties kunnen geplaatst worden onder berichten. Ook is er ruimte voor vragen en discussie in de bijbehorende discussiegroep. Klik hierboven op de blauwe balk met de titel en ga dan naar het spreekwolkje."
"2021-04-02T15:54:28";"Waarheid, Eindtijd & Profetie";"list(type = ""link"", text = ""https://youtu.be/d7olmSYY_Rs"")"
"2021-04-02T16:16:00";"Waarheid, Eindtijd & Profetie";"Belangrijke (bijbelgetrouwe) bijbelleraren om van te leren in deze tijd zijn:
- Jack Hibbs (Real life with Jack Hibbs)
- Billy Crone
- J.D. Farag
- Rock Harbour Church (Brandon Holthaus)
- Spencer Smith (kijk vooral Third Adam 1 en 2, Third Adam 3 is in de maak)"
"2021-04-02T16:27:40";"Waarheid, Eindtijd & Profetie";"list(type = ""link"", text = ""https://youtu.be/lnMpfoxYSFY"")"
"2021-04-02T16:31:35";"Waarheid, Eindtijd & Profetie";"list(type = ""link"", text = ""https://youtu.be/vKAU3zjpDbI"")"
"2021-04-02T16:34:02";"Waarheid, Eindtijd & Profetie";"Third Adam 1&2  hebben we voor jullie gemak alvast bijgevoegd. Third Adam 3 komt binnenkort online en wordt dan ook toegevoegd."
"2021-04-02T19:00:34";"Waarheid, Eindtijd & Profetie";"Naast YouTube maken wij ook gebruik van het platform Rumble voor het laten zien van video’s. Dit komt vanwege de toenemende censuur op YouTube naar de bijbelgetrouwe christenen. Aanrader is dus om Rumble te installeren."
"2021-04-02T19:01:47";"Waarheid, Eindtijd & Profetie";"list(type = ""link"", text = ""https://rumble.com/vez70t-the-tribulation-temple-is-gaining-support-prophecy-update.html"")"
"2021-04-02T19:36:41";"Waarheid, Eindtijd & Profetie";"list(""De trailer van ThirdAdam3 om alvast op te warmen ‘The rise of the divine feminin ‘\n\n"", list(type = ""link"", text = ""https://youtu.be/b8rAYjgbTnQ""), """")"
"2021-04-02T22:24:46";"Waarheid, Eindtijd & Profetie";"list(""Pastor Skip Heitzig legt uit hoe het echt zit met de opname van de gemeente op een zeer boeiende wijze. NEDERLANDS ONDERTITELD. Aanrader!!\n"", list(type = ""link"", text = ""https://youtu.be/gciRUyYXue4""))"
"2021-04-03T10:18:15";"Waarheid, Eindtijd & Profetie";"list(""Er zijn veel mensen die beweren dat de bijbel of bijbelteksten op veel verschillende manieren zijn uit te leggen of te interpreteren. Dat men dat vindt, zegt iets over de manier waarop er naar God wordt gekeken. Conclusies die je zou kunnen trekken:\n1. God is als onze Schepper niet in staat om met zijn schepselen goed te kunnen communiceren, want iedereen denkt anders over zijn boodschap.\n2. God is onduidelijk \n3. God had kennelijk niet in de gaten dat de wereld "", list(type = ""bot_command"", 
    text = ""/maatschappij""), "" er in de 20ste/21ste eeuw er heel anders uit zou zien dan Hij bedacht had.\n4. God vindt meerdere zienswijzen wel prima, immers Hij houdt van ons toch? Doe wat je wilt..\n\nJe kunt er vast nog wel meer bedenken, maar het gaat even om het voorbeeld. De mensen die dit vinden, daar kun je zelfs theologen of voorgangers onder scharen,slaan de plank finaal mis. God is heel duidelijk in wat Hij wil overbrengen. Het probleem zit hem juist bij deze mensen zelf en het heeft te maken met:\n1. De kennis over God (weten ze echt wie Hij is?)\n2. Gehoorzaamheid aan God ( willen ze echt naar God luisteren of is hun eigen opvatting belangrijker?)\n3. Relatie met God (Kent God deze mensen echt van hart tot hart?)\n4)Is het echt God die ze willen dienen? Of dienen ze iemand anders?\n\nJezus zegt zelf , satan komt om te stelen, te doden en te vernietigen en daarvoor gebruikt Hij alle middelen. Middelen om te misleiden, verdeeldheid te zaaien en te infiltreren.\n\nWij geloven dat Gods Woord heel erg duidelijk is en het is om die reden dat we in deze groep ook alleen maar gezonde Bijbelse leer willen posten."")"
"2021-04-03T10:50:57";"Waarheid, Eindtijd & Profetie";"list(type = ""link"", text = ""https://youtu.be/Q65EfvJuZ0s"")"
"2021-04-03T12:09:56";"Waarheid, Eindtijd & Profetie";"list(type = ""link"", text = ""https://subspla.sh/6kkzbtr"")"
"2021-04-03T12:30:38";"Waarheid, Eindtijd & Profetie";"list(""We zouden het tof vinden als jij ons wilt helpen om deze groep te delen met meer mensen. Je kunt daarvoor deze link gebruiken. \n\n"", list(type = ""link"", text = ""https://t.me/Waarheid_Eindtijd_Profetie""))"
"2021-04-04T11:44:45";"Waarheid, Eindtijd & Profetie";"list(""Bekijk op deze opstandingsdag ook de prachtige 34 minuten durende ‘Road to Emmaus’ . Het evangelie zo mooi uitgelegd.\n\n"", list(type = ""link"", text = ""https://youtu.be/vepBqHvZ0Xs""), """")"
"2021-04-04T15:00:59";"Waarheid, Eindtijd & Profetie";"list(""Hieronder een kort filmpje van missionary Spencer Smith waarin hij een incident bespreekt in Canada waarbij een kerk tijdens de paasdienst wordt binnengevallen door een gezondheidsinspecteur en bijbehorende politie agenten. De voorganger pikt het niet en stuurt de binnenvallende groep het gebouw uit op een nogal heldere manier. Kijk zelf:\n\n"", list(type = ""link"", text = ""https://youtu.be/vhrtovLymJE""))"
"2021-04-04T18:49:32";"Waarheid, Eindtijd & Profetie";"list(type = ""link"", text = ""https://youtu.be/s6e1HR1PZVE"")"
"2021-04-04T20:37:25";"Waarheid, Eindtijd & Profetie";"list(""Herinneren we ons Kent Hovind nog? Deze christelijke wetenschapper liet menig ongelovig wetenschapper met de mond vol tanden staan. Ook nu komt de munitie die Prof. Hovind ons aanreikte nog steeds goed van pas in gesprekken met evolutie theorie aanhangers. Deze video bevat een aantal zeer krachtige minuten:\n‘Waar komt God vandaan’ NEDERLANDS ONDERTITELD!\n\n"", list(type = ""link"", text = ""https://youtu.be/RVzeojdXbpQ""), """")"
"2021-04-05T08:35:04";"Waarheid, Eindtijd & Profetie";"list(""Prophecy Update J.D. Farag:\nDe huidige ontwikkelingen in de wereld komen op een hoogtepunt aan. Ze zijn tientallen jaren geleden al gepland maar worden nu geïmplementeerd. De ontwikkelingen gaan snel, te snel en daarom is er bijna geen tijd meer om Jezus tot mensen te brengen en dus mensen tot Jezus.\n\n"", list(type = ""link"", text = ""https://subspla.sh/vwf77k4""), """")"
"2021-04-05T10:07:52";"Waarheid, Eindtijd & Profetie";"list(type = ""link"", text = ""https://youtu.be/aN2MBqllFUE"")"
"2021-04-05T13:09:18";"Waarheid, Eindtijd & Profetie";"list(""De term ‘christen zijn’ zegt tegenwoordig niet zoveel meer. In de wereld om ons heen noemen veel mensen zich christen. Maar als je kijkt naar de levensstijl van sommige mensen dan herken je daarin niet de levensstijl die Christus zelf zou voorstaan.  De gemeente/kerk is geïnfiltreerd door Satan en de demonische machten en diens huurlingen.  We zullen binnenkort een aantal zaken onder de loep nemen zodat we het kunnen herkennen en er voor kunnen zorgen dat we niet worden meegezogen in deze misleiding en door deze misleiders. We zullen mensen, organisaties, kerken en voorgangers voorbij zien komen die massa’s onwetende christenen hebben meegenomen op een weg naar de hel. "", 
    list(type = ""hashtag"", text = ""#staytuned""), """")"
"2021-04-05T16:52:34";"Waarheid, Eindtijd & Profetie";"list(type = ""link"", text = ""https://youtu.be/oR0P4wJLxj4"")"
"2021-04-06T10:54:56";"Waarheid, Eindtijd & Profetie";"list(""Infiltratie van valse leer en valse religie binnen de gemeente van Christus is aan het toenemen ook in Nederland. Hoe ver staat de kerk af van de Bijbelse Waarheid? Wie dienen we echt in de kerk? Op basis waarvan worden mensen christen genoemd? Kijk eens naar De Passion op TV.. Is het paasverhaal daar niet totaal afgezwakt tot een verhaaltje over goede werken en elkaar helpen? \nWilco Vos spreekt hierover een grote waarheid in deze video met een oprecht hart.\n\n"", list(type = ""link"", text = ""https://youtu.be/OFsuhU93G64""))"
"2021-04-06T11:35:27";"Waarheid, Eindtijd & Profetie";"list(""We zouden het tof vinden als jij ons wilt helpen om deze groep te delen met meer mensen. Je kunt daarvoor deze link gebruiken. \n\n"", list(type = ""link"", text = ""https://t.me/Waarheid_Eindtijd_Profetie""))"
"2021-04-06T16:58:47";"Waarheid, Eindtijd & Profetie";"list(""Dagelijkse prophecy update met laatste ontwikkelingen in de wereld.\n\n"", list(type = ""link"", text = ""https://youtu.be/OqixESZ7qfc""))"
"2021-04-06T22:34:22";"Waarheid, Eindtijd & Profetie";"Vanavond keek ik deze documentaire op blckbx tv en was hier best wel geshockeerd over. Deze docu ontstond als gevolg van het politiegeweld toegepast op vreedzame demonstranten die tegen de corona maatregelen demonstreerden. Het gaat in deze uitzending over de cultuur van agressie, seksueel wangedrag en angst die ons laat zien dat de politie mensen de-humaniseert. De-humanisatie is een onderdeel van de ‘ 10 stages of genocide’ oftewel de 10 fasen naar genocide.  Dit plaatst zich perfect in deze eindtijd en de gang naar de 7 jarige grote verdrukking. De-Humanisatie is overigens stap 4 in dit proces."
"2021-04-06T22:34:40";"Waarheid, Eindtijd & Profetie";"list(type = ""link"", text = ""https://youtu.be/YQGHRxxynQA"")"
"2021-04-07T08:42:25";"Waarheid, Eindtijd & Profetie";"list(""Joe Biden laat Jezus weg uit het paasverhaal. Daarnaast is er een toename in de vervolging van christenen in Amerika.\n"", list(type = ""link"", text = ""https://www.google.nl/amp/s/www.foxnews.com/politics/joe-biden-easter-remarks-white-house-jesus-mentions.amp""))"
"2021-04-07T13:36:57";"Waarheid, Eindtijd & Profetie";"Vanaf vandaag starten we met de serie van Pastor Billy Crone genaamd ‘ Satanism and the rise of  devil worship’.  oftewel satanisme en de opkomst van duivel verering. Als je je afvraagt waarom, dan heeft het volgende antwoord hierop betrekking. Als je de duivel als een rode man met hoorns en een hooivork voorstelt, dan zit je er faliekant naast. De bijbel zegt dat Satan zich voordoet als een ‘engel des lichts’.  Dus de beeldvorming is vaak al niet goed. Daarnaast helpt deze serie je, hoe je satan aan het werk kunt zien om je heen en binnen de kerk. Ook satanisme heeft zijn eigen wetten, namelijk: 1. Doe wat je wilt. 2. Je bent je eigen god. Het woordje “Ik” heeft binnen het satanisme een hele zware lading. Bekijk de series en ontdek waarmee we te maken hebben en hoe binnen de kerken de focus van Jezus is afgehaald en is verschoven naar “Ik, Me, Myself and I. Hoe krijg ik van de kerk wat ik nodig heb en loop IK nooit geen zegeningen mis."
"2021-04-07T13:39:49";"Waarheid, Eindtijd & Profetie";"list(type = ""link"", text = ""https://youtu.be/egH4xpZUXK8"")"
"2021-04-07T18:41:10";"Waarheid, Eindtijd & Profetie";"‘The Great Reset ‘  of ‘Building Back Better’ of ‘The New World Order’ zijn termen die je of wel of niet bent tegengekomen in de (social) media.  In Nederland en diens reguliere media outlets hoor je er niks tot weinig over. Dit terwijl het sinds het “uitbreken van de COVID-19 crisis” een hot topic is geworden. 

Het World Economic Forum gezeteld in Davos (Zwitserland) onder leiding van Prof. Klaus Schwab , hebben als doel de politiek en de top van het bedrijfsleven samen te brengen om te brainstormen over de wereldproblematiek en vervolgens te komen tot oplossingen hiervoor.

Deze groep ‘ELITE’ praten al tientallen jaren over het creëren van een nieuwe wereldorde , gebaseerd op een communistische basis. Maar het momentum om deze aan de wereld te introduceren was nooit precies goed TOTDAT de “Coronacrisis” zich aan diende.  Volgens de W.E.F. leden liet deze crisis bij uitstek zien dat het huidige kapitalistische systeem ofwel de huidige wereldorde heeft gefaald. De faalgebieden worden omschreven als de :
1. Gezondheidszorg , deze was niet in staat de coronacrisis te voorkomen , danwel daar adequaat op te reageren.
2. Klimaatcrisis , immers de wereld zal over 10 jaar niet meer bestaan als we nu niet handelen!
3. Ongelijkheid op de wereld , qua eerlijke verdeling van bronnen. Iedereen ontvangt een basisinkomen zonder daarvoor te hoeven werken.
4.Immigratie , het opnemen van migranten vanuit Afrika naar het westen
5. Transhumanisme, de verbetering van het menselijk ras door de 4e Technologische revolutie

The Great Reset, zoals men het noemt wordt ‘ as we speak ‘ nu uitgevoerd. Wereldwijd , worden nu maatregelen genomen  om de diverse technologische systemen te kunnen implementeren die nodig zijn om de wereldbevolking te kunnen controleren, zodra ze gevaccineerd uit de lockdown zullen komen. 
De bestaande wereldeconomie zal instorten door de grote hyperinflatie die is ontstaan vanwege de grote schuldenlast van de wereld en het failliet gaan van de ruggengraat van de economie, namelijk het midden - en kleinbedrijf. Veel mensen zijn op straat komen te staan.  De bedoeling is een Utopia waarin iedereen zijn brood verdiend in een “groene economie” waar je werkt voor kost en inwoning. Geen bezittingen nodig. Wat je nodig hebt huur je totdat je het niet meer  nodig hebt. Je lichaam wordt ge-update met tech en men beloofd je heel oud te kunnen worden. Er is een digitaal betaalsysteem op je lichaam aangebracht voor gemak voor jou en controle voor de “overheid”. Je zult niks bezitten, maar toch gelukkig zijn... Fictie? Nee, werkelijkheid ... Zelf George Orwell de schrijver van het boek ‘1984’ waarschuwde hier al voor, dat deze toekomst in het verschiet zou liggen.

Maar het enige boek wat de Waarheid bevat van God , De Bijbel, zegt het ons met 100% zekerheid in Openbaring 13 en 17. Dit systeem, in de bijbel genoemd het beest systeem zal komen in de eindtijd en worden gerund door de tegenstander van Jezus , de antichrist. De dagen van dit beest systeem zijn nu aangebroken..."
"2021-04-07T18:42:03";"Waarheid, Eindtijd & Profetie";"list(type = ""link"", text = ""https://youtu.be/lBBxWtKKQiA"")"
"2021-04-07T18:42:35";"Waarheid, Eindtijd & Profetie";"list(type = ""link"", text = ""https://www.weforum.org/great-reset/"")"
"2021-04-07T18:52:15";"Waarheid, Eindtijd & Profetie";"Onze broer Bert Panhuyse van Eurospirit Conferenties heeft een mooie column geschreven over the great reset."
"2021-04-07T21:34:40";"Waarheid, Eindtijd & Profetie";"list(""Missionary Spencer Smith: Maak het in orde met Jezus, we hebben geen tijd meer om spelletjes te spelen. De tijd van het beest-systeem is gekomen. Het is nu de tijd om je keuze te maken!\n\n"", list(type = ""link"", text = ""https://youtu.be/NXTKbn6zRGs""))"
"2021-04-08T09:15:59";"Waarheid, Eindtijd & Profetie";"Maak kennis met Pastor James Coates. Hij is één van de hoofd voorgangers van GraceLife Church in Edmonton Canada. Afgelopen februari werd hij door de Canadese politie gearresteerd omdat hij “tegen de COVID-19 maatregelen in” zijn kerk niet sloot en diensten hield. Deze pastor stond voor het feit dat zijn loyaliteit aan Zijn Schepper hoger moest zijn dan die aan de overheid. Hij heeft dit ook perfect beargumenteerd, maar... De overheid sloot hem op in de gevangenis voor 35 dagen. Weg bij zijn gemeente, vrouw en 4 kinderen. Hij is inmiddels weer vrij, wachtend op zijn rechtszaak op 3 mei. Maar de storm is nog niet over.. Canada ontpopt zich de laatste tijd als een zeer christen onvriendelijk land. Een voorbeeld daarvan is het filmpje wat ik hierboven eerder al postte van de voorganger die een invallende politie macht wegjoeg tijdens zijn paasdienst. Canadese premier Justin Trudeau heeft het ook niet zo met christenen. Hij weigerde zelfs het paasfeest een christelijk feest te noemen. Trudeau is een fervent aanhanger van de Great Reset en een voorstander van snelle invoering van het beest systeem. 

Jezus vertelde ons al dat ons vervolging stond te wachten omwille van Zijn Naam. Het is hier. De vervolging is gekomen naar de westerse wereld. Het begint vaak zacht , door afwijzing van de Bijbelse boodschap, vervolgens veroordeling van de Bijbelse boodschap, dan veroordeling van de mensen die geloven in de Bijbelse boodschap. Dan wordt de vervolging harder zoals uitsluiting en isolatie van deze mensen. Het eindigt met gangen naar de Rechter om het uitdragen van geloof in het openbaar te verbieden, de bijbel te verbannen uit het openbare ruimte omdat deze in strijd is met de nieuwe ‘Woke principes’ en uiteindelijk kerken te sluiten en diens volgers te beboeten of gevangen te zetten. Kijk naar de kritiek en discussie over de kerk in Urk, de aanslag op de Mieras kerk in Krimpen, de herrie rondom Staphorst. Dit zijn de orthodoxe bijbelgetrouwe kerken. Zij zijn het doel geworden. Het grootste deel van de kerken in NL zijn de laodicea kerken. De lauwe kerken waarvan Christus zei dat hij ze uit zijn mond zal spugen omdat ze gelijkvormig zijn geworden aan de wereld. De Kerken die de Bijbelse waarheid preken en uitvoeren zullen straks zelfs door hun eigen LAUWE broeders en zusters worden overgeleverd aan de heersers zegt Jezus zelf in de Bijbel. Laten we niet vergeten te bidden voor de kerken en diens gelovigen die onder zwaar vuur zullen komen te liggen. Immers als jij ook een ware volger van Jezus bent, zal het ook jou gaan raken binnenkort. Wees bemoedigd in het feit dat Christus Zijn kerk heeft gebouwd op De Rots en zelfs de poorten van de hel haar niet kunnen overweldigen!"
"2021-04-08T09:29:17";"Waarheid, Eindtijd & Profetie";"list(""Hoe is de situatie nu bij GraceLife church? Missionary Spencer Smith laat het zien op het volgende filmpje. De kerk is omsingeld door politie en beveiliging. Er zijn 2 hekwerk ringen omheen geplaatst om de kerkgangers en de mensen die hun werk hebben in en om het gebouw tegen te houden. Er is zelfs een zwarte stof om het hekwerk aangebracht om zicht op de ingang van de kerk te ontnemen. Dit moet ons raken broers en zussen, net zoals het overduidelijk ook Spencer Smith raakt emotioneel. Kijk het verslag, met beelden van de omsingeling.\n\n"", 
    list(type = ""link"", text = ""https://youtu.be/Bc6uuwaH7Yw""))"
"2021-04-08T11:49:28";"Waarheid, Eindtijd & Profetie";"list(""De Amerikaanse staat California staat een nieuw curriculum toe op hun scholen. Studenten mogen ‘Azteekse goden’ gaan dienen en bestuderen om de huidige christelijke maatschappij te ondermijnen. Deze afgoden stonden bekend om de grote hoeveelheid mensenoffers die er aan werden gebracht. Satan, de mensen moordenaar van den beginne is hard aan het werk.\n\n"", list(type = ""link"", text = ""https://t.me/CharlieKirk/4873""), """")"
"2021-04-08T13:23:58";"Waarheid, Eindtijd & Profetie";"list(""Vandaag ook te zien het volgende deel van ‘Satanism and the rise of devilworship’ part2 (deel2) door Pastor Billy Crone\n\n"", list(type = ""link"", text = ""https://youtu.be/Cce3lij-HsI""), """")"
"2021-04-08T14:03:45";"Waarheid, Eindtijd & Profetie";"list(""Dagelijkse Prophecy Update met de laatste ontwikkelingen in de wereld.\nChristen Vervolging is hier!!\n\n"", list(type = ""link"", text = ""https://youtu.be/3UPd1-c4biM""))"
"2021-04-08T17:12:54";"Waarheid, Eindtijd & Profetie";"Nieuw dagelijks gebedenboek voor de “Woke”..."
"2021-04-08T22:06:59";"Waarheid, Eindtijd & Profetie";"list(""False Teachers: Valse leraren in de kerk. Dat deze mensen een serieus publiek trekken is ernstig. Missionary Spencer Smith laat het op een luchtige manier zien.\n\n"", list(type = ""link"", text = ""https://youtu.be/rIaEMOm1fVI""))"
