"date";"from";"text"
"2020-10-17T15:28:04";"3e kamer";"Hoi Iedereen, Welkom tot mijn nieuwe censuur vrije kanaal. De 3e kamer"
"2020-10-17T15:28:25";"3e kamer";"Hier kunnen we dingen delen en bespreken wat er nu gaande is in onze maatschappij"
"2020-10-18T19:50:34";"3e kamer";"Hoi Iedereen<U+0001F64C>"
"2020-10-23T16:25:33";"3e kamer";"list(type = ""link"", text = ""https://www.eerstekamer.nl/alle_leden"")"
"2020-10-23T16:25:43";"3e kamer";"list(type = ""link"", text = ""https://docs.google.com/spreadsheets/d/1BwRZAqJ6Pe1KaVfdwoe2Z_cwJ8eC6HSflKR7HpZXQWg/edit"")"
"2020-10-25T20:35:49";"3e kamer";"list(type = ""link"", text = ""https://blog.nomorefakenews.com/2020/10/19/dr-tom-cowan-explores-the-covid-virus-invented-out-of-sheer-nonsense/"")"
"2020-10-25T20:36:26";"3e kamer";"list(type = ""link"", text = ""https://drtomcowan.com/only-poisoned-monkey-kidney-cells-grew-the-virus/"")"
"2020-10-25T21:29:59";"3e kamer";"Covid-19-tests-English.pdf"
"2020-10-25T21:32:05";"3e kamer";"COVID-19-SWAB-TESTS-LAWSUITS.pdf"
"2020-10-26T17:39:09";"3e kamer";"list(""Eerste Kamer der Staten-Generaal - Live plenaire vergadering maandag 26 oktober 2020, aanvang 09:30 uur\n"", list(type = ""link"", text = ""https://www.eerstekamer.nl/live_plenaire_vergadering""))"
"2020-10-27T22:34:24";"3e kamer";"Het bericht van net is verwijderd. Wij hebben een sterke vermoeden dat het fake news is die wordt verspreid"
"2020-10-29T23:23:06";"3e kamer";"list(""De reden dat pas in december de "", list(type = ""hashtag"", text = ""#Spoedwet""), "" van kracht kan zijn, is omdat men 6 weken de tijd heeft om nog "", list(type = ""hashtag"", text = ""#BEZWAAR""), "" te maken. \nNatuurlijk zal Rutte dit niet zeggen, anders worden de slapende honden wakker. <U+0001F92B><U+0001F621>\n\n"", list(type = ""link"", text = ""https://t.co/VsoH88zvM2""), """")"
"2020-10-29T23:24:10";"3e kamer";"Hoe meer van ons een bezwaarschrift zal indienen hoe meer kans we hebben dat ze het niet aannemen."
